Squad,GP,GA,Shots,SOG,Saves,SavePct,CS,PKatt,PKG,advanced,stage,saves_per_90,cs_rate,pressure_index,save_efficiency_ratio,GES
Spain,8,1,52,13,10,76.9,7,0,0,1,Knockout,1.25,0.875,1.625,47.323076923076925,57.89711819573995
Colombia,5,1,42,9,6,66.7,4,0,0,1,Knockout,1.2,0.8,1.8,37.05555555555556,47.91817982935901
Mexico,5,3,37,11,7,63.6,4,1,1,1,Knockout,1.4,0.8,2.2,28.909090909090907,47.36270161691296
France,8,10,66,24,13,54.2,4,3,2,1,Knockout,1.625,0.5,3.0,18.066666666666666,35.353463534933674
Brazil,5,4,46,20,14,70.0,2,0,0,1,Knockout,2.8,0.4,4.0,17.5,55.84757661939898
Portugal,5,3,69,23,20,87.0,2,0,0,1,Knockout,4.0,0.4,4.6,18.91304347826087,79.7735128577395
Argentina,8,8,75,28,20,71.4,2,0,0,1,Knockout,2.5,0.25,3.5,20.400000000000002,50.763707961257744
Switzerland,6,6,68,25,17,68.0,2,0,0,1,Knockout,2.8333333333333335,0.3333333333333333,4.166666666666667,16.32,53.095403830472755
England,8,12,97,35,20,57.1,2,1,1,1,Knockout,2.5,0.25,4.375,13.051428571428572,39.81424394900659
Canada,5,6,27,14,6,42.9,2,0,0,1,Knockout,1.2,0.4,2.8,15.321428571428571,20.551739225552396
United States,5,8,49,19,10,52.6,2,0,0,1,Knockout,2.0,0.4,3.8,13.842105263157896,35.25172530379269
Paraguay,5,6,98,29,22,75.9,2,1,1,1,Knockout,4.4,0.4,5.8,13.086206896551726,74.91064219088722
Australia,4,3,58,15,14,93.3,2,0,0,1,Knockout,3.5,0.5,3.75,24.88,82.33766233766234
Cape Verde,4,5,66,23,18,78.3,2,0,0,1,Knockout,4.5,0.5,5.75,13.617391304347825,79.94311966746884
Morocco,6,6,60,22,16,72.7,2,1,0,1,Knockout,2.6666666666666665,0.3333333333333333,3.6666666666666665,19.827272727272728,55.17902720046672
Japan,4,5,44,20,14,70.0,1,0,0,1,Knockout,3.5,0.25,5.0,14.0,58.78264155446391
Egypt,5,7,69,21,15,71.4,0,2,0,1,Knockout,3.0,0.0,4.2,17.0,49.59487679242657
Senegal,4,9,50,20,11,55.0,1,1,1,1,Knockout,2.75,0.25,5.0,11.0,40.47900797517949
Ecuador,4,4,52,14,9,64.3,1,0,0,1,Knockout,2.25,0.25,3.5,18.37142857142857,43.05453352160856
Norway,6,11,87,34,19,55.9,0,2,1,1,Knockout,3.1666666666666665,0.0,5.666666666666667,9.86470588235294,39.24172815443872
Belgium,6,7,70,24,16,66.7,1,0,0,1,Knockout,2.6666666666666665,0.16666666666666666,4.0,16.675,46.775322686501866
Croatia,4,7,49,19,11,57.9,1,2,2,1,Knockout,2.75,0.25,4.75,12.189473684210526,42.69952864899266
Netherlands,4,5,51,23,16,69.6,0,0,0,1,Knockout,4.0,0.0,5.75,12.104347826086956,57.30753167200333
Uruguay,3,4,23,8,4,50.0,0,0,0,1,Knockout,1.3333333333333333,0.0,2.6666666666666665,18.75,18.057450461738362
South Africa,4,4,49,17,11,64.7,1,0,0,0,Group Exit,2.75,0.25,4.25,15.223529411764707,47.906266780692505
Ghana,4,3,58,20,14,70.0,2,0,0,0,Group Exit,3.5,0.5,5.0,14.0,64.49692726874963
Iran,3,3,49,18,12,66.7,1,0,0,0,Group Exit,4.0,0.3333333333333333,6.0,11.116666666666667,62.706058617237794
Haiti,3,8,36,20,10,50.0,0,0,0,0,Group Exit,3.3333333333333335,0.0,6.666666666666667,7.5,36.23926864355656
Ivory Coast,4,4,45,14,10,71.4,2,0,0,0,Group Exit,2.5,0.5,3.5,20.400000000000002,56.47799367554346
Czechia,3,6,43,17,9,52.9,0,1,1,0,Group Exit,3.0,0.0,5.666666666666667,9.335294117647058,35.429486287066695
DR Congo,4,5,48,21,13,61.9,0,0,0,0,Group Exit,3.25,0.0,5.25,11.79047619047619,44.59348461645553
Saudi Arabia,3,5,63,22,12,54.5,1,0,0,0,Group Exit,4.0,0.3333333333333333,7.333333333333333,7.4318181818181825,53.36455785154101
Algeria,4,9,39,19,8,42.1,0,0,0,0,Group Exit,2.0,0.0,4.75,8.863157894736842,18.06905192816372
Bosnia-Herz,4,8,44,16,8,50.0,0,1,1,0,Group Exit,2.0,0.0,4.0,12.5,24.11805652234443
Jordan,3,8,39,16,8,50.0,0,2,2,0,Group Exit,2.6666666666666665,0.0,5.333333333333333,9.375,30.178662582950487
Scotland,3,4,46,14,8,57.1,1,0,0,0,Group Exit,2.6666666666666665,0.3333333333333333,4.666666666666667,12.235714285714286,43.23415736892001
