Squad,GP,GA,Shots,SOG,Saves,SavePct,CS,PKatt,PKG,advanced
Spain,8,1,52,13,10,76.9,7,0,0,1
Colombia,5,1,42,9,6,66.7,4,0,0,1
Mexico,5,3,37,11,7,63.6,4,1,1,1
France,8,10,66,24,13,54.2,4,3,2,1
Brazil,5,4,46,20,14,70.0,2,0,0,1
Portugal,5,3,69,23,20,87.0,2,0,0,1
Argentina,8,8,75,28,20,71.4,2,0,0,1
Switzerland,6,6,68,25,17,68.0,2,0,0,1
England,8,12,97,35,20,57.1,2,1,1,1
Canada,5,6,27,14,6,42.9,2,0,0,1
United States,5,8,49,19,10,52.6,2,0,0,1
Paraguay,5,6,98,29,22,75.9,2,1,1,1
Australia,4,3,58,15,14,93.3,2,0,0,1
Cape Verde,4,5,66,23,18,78.3,2,0,0,1
Morocco,6,6,60,22,16,72.7,2,1,0,1
Japan,4,5,44,20,14,70.0,1,0,0,1
Egypt,5,7,69,21,15,71.4,0,2,0,1
Senegal,4,9,50,20,11,55.0,1,1,1,1
Ecuador,4,4,52,14,9,64.3,1,0,0,1
Norway,6,11,87,34,19,55.9,0,2,1,1
Belgium,6,7,70,24,16,66.7,1,0,0,1
Croatia,4,7,49,19,11,57.9,1,2,2,1
Netherlands,4,5,51,23,16,69.6,0,0,0,1
Uruguay,3,4,23,8,4,50.0,0,0,0,1
Paraguay,5,6,98,29,22,75.9,2,1,1,1
South Africa,4,4,49,17,11,64.7,1,0,0,0
Ghana,4,3,58,20,14,70.0,2,0,0,0
Iran,3,3,49,18,12,66.7,1,0,0,0
Haiti,3,8,36,20,10,50.0,0,0,0,0
Ivory Coast,4,4,45,14,10,71.4,2,0,0,0
Czechia,3,6,43,17,9,52.9,0,1,1,0
DR Congo,4,5,48,21,13,61.9,0,0,0,0
Saudi Arabia,3,5,63,22,12,54.5,1,0,0,0
Algeria,4,9,39,19,8,42.1,0,0,0,0
Bosnia-Herz,4,8,44,16,8,50.0,0,1,1,0
Jordan,3,8,39,16,8,50.0,0,2,2,0
Scotland,3,4,46,14,8,57.1,1,0,0,0
Turkey,3,5,33,13,8,61.5,0,0,0,0
Germany,4,5,31,11,6,54.5,0,0,0,0
South Korea,3,3,30,12,6,50.0,0,0,0,0
Tunisia,3,12,42,19,6,31.6,0,0,0,0
Uzbekistan,3,11,50,19,6,31.6,0,1,1,0
Sweden,4,10,50,25,14,56.0,0,0,0,0
Qatar,3,10,73,25,7,28.0,0,1,1,0
New Zealand,3,10,69,21,11,52.4,0,0,0,0
Indonesia,3,7,35,16,8,50.0,0,0,0,0
Hungary,3,9,42,18,8,44.4,0,0,0,0
Iraq,3,12,61,23,12,52.2,0,0,0,0
Panama,3,4,31,14,9,64.3,0,0,0,0
Peru,3,8,41,17,8,47.1,0,0,0,0
Poland,3,9,37,14,7,50.0,0,0,0,0
Serbia,3,8,36,15,7,46.7,0,0,0,0
Slovakia,3,9,44,17,8,47.1,0,0,0,0
