player,position,team,age,minutes_90s,fouls,fouled,interceptions,tackles_won,stage,team_90s,minutes,tackles_won_per90,interceptions_per90,fouls_per90,fouled_per90,sample_id,selection_probability,sample_weight
Abbosbek Fayzullayev,MF,Uzbekistan,22,2.4,6,4,1,6,Group-stage exit,3.0,216,2.5,0.4166666666666667,2.5,1.6666666666666667,WC26-MF-S001,0.8333333333333334,1.2
Akmal Mozgovoy,MF,Uzbekistan,27,2.4,0,3,2,0,Group-stage exit,3.0,216,0.0,0.8333333333333334,0.0,1.25,WC26-MF-S002,0.8333333333333334,1.2
Amir Al Ammari,MF,Iraq,28,2.7,3,0,2,1,Group-stage exit,3.0,243,0.37037037037037035,0.7407407407407407,1.111111111111111,0.0,WC26-MF-S003,0.8333333333333334,1.2
Anis Ben Slimane,"MF,FW",Tunisia,25,2.7,0,0,2,2,Group-stage exit,3.0,243,0.7407407407407407,0.7407407407407407,0.0,0.0,WC26-MF-S004,0.8333333333333334,1.2
Arda Güler,MF,Türkiye,21,3.0,3,10,2,3,Group-stage exit,3.0,270,1.0,0.6666666666666666,1.0,3.3333333333333335,WC26-MF-S005,0.8333333333333334,1.2
Barış Alper Yılmaz,"MF,FW",Türkiye,26,2.0,4,1,0,0,Group-stage exit,3.0,180,0.0,0.0,2.0,0.5,WC26-MF-S006,0.8333333333333334,1.2
Ben Gannon-Doak,MF,Scotland,20,2.1,3,1,0,1,Group-stage exit,3.0,189,0.47619047619047616,0.0,1.4285714285714286,0.47619047619047616,WC26-MF-S007,0.8333333333333334,1.2
Carlos Harvey,MF,Panama,26,3.0,8,3,0,3,Group-stage exit,3.0,270,1.0,0.0,2.6666666666666665,1.0,WC26-MF-S008,0.8333333333333334,1.2
Cristian Martínez,"MF,FW",Panama,29,2.7,5,5,1,4,Group-stage exit,3.0,243,1.4814814814814814,0.37037037037037035,1.8518518518518516,1.8518518518518516,WC26-MF-S009,0.8333333333333334,1.2
César Blackman,"MF,DF",Panama,28,2.0,2,2,1,0,Group-stage exit,3.0,180,0.0,0.5,1.0,1.0,WC26-MF-S010,0.8333333333333334,1.2
Danley Jean-Jacques,MF,Haiti,26,2.9,5,3,3,6,Group-stage exit,3.0,261,2.0689655172413794,1.0344827586206897,1.7241379310344829,1.0344827586206897,WC26-MF-S011,0.8333333333333334,1.2
Edmilson Junior,"MF,FW",Qatar,31,2.3,4,2,0,1,Group-stage exit,3.0,207,0.4347826086956522,0.0,1.7391304347826089,0.8695652173913044,WC26-MF-S012,0.8333333333333334,1.2
Elijah Just,MF,New Zealand,26,2.9,3,2,2,3,Group-stage exit,3.0,261,1.0344827586206897,0.6896551724137931,1.0344827586206897,0.6896551724137931,WC26-MF-S013,0.8333333333333334,1.2
Ellyes Skhiri,"MF,DF",Tunisia,31,2.8,0,1,2,1,Group-stage exit,3.0,252,0.35714285714285715,0.7142857142857143,0.0,0.35714285714285715,WC26-MF-S014,0.8333333333333334,1.2
Federico Valverde,MF,Uruguay,27,2.6,1,0,3,2,Group-stage exit,3.0,234,0.7692307692307692,1.1538461538461537,0.3846153846153846,0.0,WC26-MF-S015,0.8333333333333334,1.2
Hakan Çalhanoğlu,MF,Türkiye,32,2.0,2,1,1,3,Group-stage exit,3.0,180,1.5,0.5,1.0,0.5,WC26-MF-S016,0.8333333333333334,1.2
Hannibal Mejbri,MF,Tunisia,23,3.0,4,15,1,4,Group-stage exit,3.0,270,1.3333333333333333,0.3333333333333333,1.3333333333333333,5.0,WC26-MF-S017,0.8333333333333334,1.2
Hwang In-beom,MF,Korea Republic,29,2.9,1,1,4,2,Group-stage exit,3.0,261,0.6896551724137931,1.3793103448275863,0.3448275862068966,0.3448275862068966,WC26-MF-S018,0.8333333333333334,1.2
Ibrahim Bayesh,"MF,FW",Iraq,26,2.6,3,5,1,4,Group-stage exit,3.0,234,1.5384615384615383,0.3846153846153846,1.1538461538461537,1.923076923076923,WC26-MF-S019,0.8333333333333334,1.2
Issa Laye,"MF,DF",Qatar,28,3.0,0,3,1,1,Group-stage exit,3.0,270,0.3333333333333333,0.3333333333333333,0.0,1.0,WC26-MF-S020,0.8333333333333334,1.2
Jean-Ricner Bellegarde,MF,Haiti,27,2.9,4,5,3,2,Group-stage exit,3.0,261,0.6896551724137931,1.0344827586206897,1.3793103448275863,1.7241379310344829,WC26-MF-S021,0.8333333333333334,1.2
Joe Bell,MF,New Zealand,27,2.7,3,0,4,2,Group-stage exit,3.0,243,0.7407407407407407,1.4814814814814814,1.111111111111111,0.0,WC26-MF-S022,0.8333333333333334,1.2
John McGinn,MF,Scotland,31,2.9,2,11,0,0,Group-stage exit,3.0,261,0.0,0.0,0.6896551724137931,3.793103448275862,WC26-MF-S023,0.8333333333333334,1.2
Josué Casimir,MF,Haiti,24,2.0,4,4,0,0,Group-stage exit,3.0,180,0.0,0.0,2.0,2.0,WC26-MF-S024,0.8333333333333334,1.2
José Luis Rodríguez,"MF,FW",Panama,27,2.6,4,2,0,3,Group-stage exit,3.0,234,1.1538461538461537,0.0,1.5384615384615383,0.7692307692307692,WC26-MF-S025,0.8333333333333334,1.2
Juninho Bacuna,MF,Curaçao,28,2.8,6,3,5,4,Group-stage exit,3.0,252,1.4285714285714286,1.7857142857142858,2.142857142857143,1.0714285714285714,WC26-MF-S026,0.8333333333333334,1.2
Leandro Bacuna,MF,Curaçao,34,3.0,3,3,0,3,Group-stage exit,3.0,270,1.0,0.0,1.0,1.0,WC26-MF-S027,0.8333333333333334,1.2
Lewis Ferguson,MF,Scotland,26,3.0,5,10,4,7,Group-stage exit,3.0,270,2.3333333333333335,1.3333333333333333,1.6666666666666667,3.3333333333333335,WC26-MF-S028,0.8333333333333334,1.2
Livano Comenencia,MF,Curaçao,22,2.6,4,1,11,1,Group-stage exit,3.0,234,0.3846153846153846,4.230769230769231,1.5384615384615383,0.3846153846153846,WC26-MF-S029,0.8333333333333334,1.2
Martin Expérience,"DF,MF",Haiti,27,3.0,7,6,4,6,Group-stage exit,3.0,270,2.0,1.3333333333333333,2.3333333333333335,2.0,WC26-MF-S030,0.8333333333333334,1.2
Maxi Araújo,"FW,MF",Uruguay,26,2.8,2,7,0,0,Group-stage exit,3.0,252,0.0,0.0,0.7142857142857143,2.5,WC26-MF-S031,0.8333333333333334,1.2
Michael Amir Murillo,"DF,MF",Panama,30,3.0,1,7,1,3,Group-stage exit,3.0,270,1.0,0.3333333333333333,0.3333333333333333,2.3333333333333335,WC26-MF-S032,0.8333333333333334,1.2
Michal Sadílek,MF,Czechia,27,2.0,0,3,2,2,Group-stage exit,3.0,180,1.0,1.0,0.0,1.5,WC26-MF-S033,0.8333333333333334,1.2
Mohamed Kanno,MF,Saudi Arabia,31,2.5,5,0,2,4,Group-stage exit,3.0,225,1.6,0.8,2.0,0.0,WC26-MF-S034,0.8333333333333334,1.2
Nasser Al-Dawsari,MF,Saudi Arabia,27,2.3,7,2,4,4,Group-stage exit,3.0,207,1.7391304347826089,1.7391304347826089,3.0434782608695654,0.8695652173913044,WC26-MF-S035,0.8333333333333334,1.2
Nizar Al Rashdan,MF,Jordan,27,2.8,5,4,2,5,Group-stage exit,3.0,252,1.7857142857142858,0.7142857142857143,1.7857142857142858,1.4285714285714286,WC26-MF-S036,0.8333333333333334,1.2
Noor Al Rawabdeh,MF,Jordan,29,3.0,1,0,2,7,Group-stage exit,3.0,270,2.3333333333333335,0.6666666666666666,0.3333333333333333,0.0,WC26-MF-S037,0.8333333333333334,1.2
Otabek Shukurov,MF,Uzbekistan,29,2.6,2,5,0,2,Group-stage exit,3.0,234,0.7692307692307692,0.0,0.7692307692307692,1.923076923076923,WC26-MF-S038,0.8333333333333334,1.2
Paik Seung-ho,MF,Korea Republic,29,2.3,1,2,1,0,Group-stage exit,3.0,207,0.0,0.4347826086956522,0.4347826086956522,0.8695652173913044,WC26-MF-S039,0.8333333333333334,1.2
Ramin Rezaeian,"DF,MF",IR Iran,36,3.0,2,3,2,5,Group-stage exit,3.0,270,1.6666666666666667,0.6666666666666666,0.6666666666666666,1.0,WC26-MF-S040,0.8333333333333334,1.2
Rodrigo Bentancur,MF,Uruguay,28,3.0,7,5,7,5,Group-stage exit,3.0,270,1.6666666666666667,2.3333333333333335,2.3333333333333335,1.6666666666666667,WC26-MF-S041,0.8333333333333334,1.2
Salem Al-Dawsari,MF,Saudi Arabia,34,2.7,3,4,1,1,Group-stage exit,3.0,243,0.37037037037037035,0.37037037037037035,1.111111111111111,1.4814814814814814,WC26-MF-S042,0.8333333333333334,1.2
Saman Ghoddos,MF,IR Iran,32,2.3,3,0,5,4,Group-stage exit,3.0,207,1.7391304347826089,2.173913043478261,1.3043478260869565,0.0,WC26-MF-S043,0.8333333333333334,1.2
Sarpreet Singh,MF,New Zealand,27,2.3,2,2,0,1,Group-stage exit,3.0,207,0.4347826086956522,0.0,0.8695652173913044,0.8695652173913044,WC26-MF-S044,0.8333333333333334,1.2
