player,position,team,age,minutes_90s,fouls,fouled,interceptions,tackles_won,stage,team_90s
"Abbosbek Fayzullayev","MF","Uzbekistan",22,2.4,6,4,1,6,"Group-stage exit",3
"Abdullah Al-Khaibari","MF","Saudi Arabia",29,2,0,2,1,1,"Group-stage exit",3
"Akmal Mozgovoy","MF","Uzbekistan",27,2.4,0,3,2,0,"Group-stage exit",3
"Akram Afif","FW,MF","Qatar",29,2.6,0,4,0,1,"Group-stage exit",3
"Ali Olwan","MF","Jordan",26,3,1,4,1,0,"Group-stage exit",3
"Amir Al Ammari","MF","Iraq",28,2.7,3,0,2,1,"Group-stage exit",3
"Anis Ben Slimane","MF,FW","Tunisia",25,2.7,0,0,2,2,"Group-stage exit",3
"Arda Güler","MF","Türkiye",21,3,3,10,2,3,"Group-stage exit",3
"Barış Alper Yılmaz","MF,FW","Türkiye",26,2,4,1,0,0,"Group-stage exit",3
"Ben Gannon-Doak","MF","Scotland",20,2.1,3,1,0,1,"Group-stage exit",3
"Carlos Harvey","MF","Panama",26,3,8,3,0,3,"Group-stage exit",3
"César Blackman","MF,DF","Panama",28,2,2,2,1,0,"Group-stage exit",3
"Cristian Martínez","MF,FW","Panama",29,2.7,5,5,1,4,"Group-stage exit",3
"Danley Jean-Jacques","MF","Haiti",26,2.9,5,3,3,6,"Group-stage exit",3
"Edmilson Junior","MF,FW","Qatar",31,2.3,4,2,0,1,"Group-stage exit",3
"Elijah Just","MF","New Zealand",26,2.9,3,2,2,3,"Group-stage exit",3
"Ellyes Skhiri","MF,DF","Tunisia",31,2.8,0,1,2,1,"Group-stage exit",3
"Federico Valverde","MF","Uruguay",27,2.6,1,0,3,2,"Group-stage exit",3
"Hakan Çalhanoğlu","MF","Türkiye",32,2,2,1,1,3,"Group-stage exit",3
"Hannibal Mejbri","MF","Tunisia",23,3,4,15,1,4,"Group-stage exit",3
"Hwang In-beom","MF","Korea Republic",29,2.9,1,1,4,2,"Group-stage exit",3
"Ibrahim Bayesh","MF,FW","Iraq",26,2.6,3,5,1,4,"Group-stage exit",3
"Issa Laye","MF,DF","Qatar",28,3,0,3,1,1,"Group-stage exit",3
"Jean-Ricner Bellegarde","MF","Haiti",27,2.9,4,5,3,2,"Group-stage exit",3
"Joe Bell","MF","New Zealand",27,2.7,3,0,4,2,"Group-stage exit",3
"John McGinn","MF","Scotland",31,2.9,2,11,0,0,"Group-stage exit",3
"José Luis Rodríguez","MF,FW","Panama",27,2.6,4,2,0,3,"Group-stage exit",3
"Josué Casimir","MF","Haiti",24,2,4,4,0,0,"Group-stage exit",3
"Juninho Bacuna","MF","Curaçao",28,2.8,6,3,5,4,"Group-stage exit",3
"Kenan Yıldız","MF","Türkiye",21,2.4,2,4,1,2,"Group-stage exit",3
"Leandro Bacuna","MF","Curaçao",34,3,3,3,0,3,"Group-stage exit",3
"Lewis Ferguson","MF","Scotland",26,3,5,10,4,7,"Group-stage exit",3
"Livano Comenencia","MF","Curaçao",22,2.6,4,1,11,1,"Group-stage exit",3
"Manuel Ugarte","MF","Uruguay",25,2,1,0,3,1,"Group-stage exit",3
"Marko Stamenic","MF","New Zealand",24,3,4,0,4,1,"Group-stage exit",3
"Martin Expérience","DF,MF","Haiti",27,3,7,6,4,6,"Group-stage exit",3
"Maxi Araújo","FW,MF","Uruguay",26,2.8,2,7,0,0,"Group-stage exit",3
"Michael Amir Murillo","DF,MF","Panama",30,3,1,7,1,3,"Group-stage exit",3
"Michal Sadílek","MF","Czechia",27,2,0,3,2,2,"Group-stage exit",3
"Mohamed Kanno","MF","Saudi Arabia",31,2.5,5,0,2,4,"Group-stage exit",3
"Mohammad Mohebi","MF","IR Iran",27,2.7,1,1,1,1,"Group-stage exit",3
"Nasser Al-Dawsari","MF","Saudi Arabia",27,2.3,7,2,4,4,"Group-stage exit",3
"Nizar Al Rashdan","MF","Jordan",27,2.8,5,4,2,5,"Group-stage exit",3
"Noor Al Rawabdeh","MF","Jordan",29,3,1,0,2,7,"Group-stage exit",3
"Otabek Shukurov","MF","Uzbekistan",29,2.6,2,5,0,2,"Group-stage exit",3
"Paik Seung-ho","MF","Korea Republic",29,2.3,1,2,1,0,"Group-stage exit",3
"Ramin Rezaeian","DF,MF","IR Iran",36,3,2,3,2,5,"Group-stage exit",3
"Rodrigo Bentancur","MF","Uruguay",28,3,7,5,7,5,"Group-stage exit",3
"Ruben Providence","MF","Haiti",24,2.4,3,5,0,2,"Group-stage exit",3
"Saeid Ezatolahi","MF","IR Iran",29,2.9,7,4,7,5,"Group-stage exit",3
"Salem Al-Dawsari","MF","Saudi Arabia",34,2.7,3,4,1,1,"Group-stage exit",3
"Saman Ghoddos","MF","IR Iran",32,2.3,3,0,5,4,"Group-stage exit",3
"Sarpreet Singh","MF","New Zealand",27,2.3,2,2,0,1,"Group-stage exit",3
"Scott McTominay","MF","Scotland",29,3,3,0,0,2,"Group-stage exit",3
"Seol Young-woo","MF","Korea Republic",27,2.8,1,2,1,0,"Group-stage exit",3
"Sherzod Nasrullaev","DF,MF","Uzbekistan",27,2,3,2,2,2,"Group-stage exit",3
"Tahith Chong","MF","Curaçao",26,2.7,3,13,1,0,"Group-stage exit",3
"Vladimír Coufal","MF,DF","Czechia",33,3,4,3,2,1,"Group-stage exit",3
"Yoel Bárcenas","MF","Panama",32,2.8,3,3,2,0,"Group-stage exit",3
"Zidane Iqbal","MF","Iraq",23,2.1,1,2,1,2,"Group-stage exit",3
"Adrien Rabiot","MF","France",31,6.5,13,4,11,7,"Knockout stage",8
"Aiden O'Neill","MF","Australia",27,4,2,8,2,2,"Knockout stage",4.3
"Aleksandar Pavlovic","MF","Germany",22,3,13,4,2,3,"Knockout stage",4.3
"Álex Baena","MF,FW","Spain",24,5.3,13,7,2,5,"Knockout stage",8.3
"Alexander Bernhardsson","MF","Sweden",27,2.4,2,4,2,2,"Knockout stage",4
"Alexis Mac Allister","MF","Argentina",27,8.3,9,12,9,12,"Knockout stage",9
"Ali Ahmed","MF","Canada",25,2.6,1,5,3,2,"Knockout stage",5
"Amad Diallo","MF,FW","Côte d'Ivoire",23,2.1,0,2,2,4,"Knockout stage",4
"Amar Memić","MF","Bosnia–Herz",25,2.5,4,3,2,2,"Knockout stage",4
"Andrés Cubas","MF","Paraguay",30,5.3,14,3,11,13,"Knockout stage",5.3
"Anthony Elanga","MF,FW","Sweden",24,2.4,0,7,2,0,"Knockout stage",4
"Anthony Gordon","MF","England",25,4.4,4,10,3,3,"Knockout stage",8.3
"Antoine Semenyo","MF,FW","Ghana",26,4,6,4,0,2,"Knockout stage",4
"Antonee Robinson","DF,MF","USA",28,3.9,4,1,6,4,"Knockout stage",5
"Ao Tanaka","MF","Japan",27,2.1,6,2,1,6,"Knockout stage",4
"Aurélien Tchouaméni","MF","France",26,4,4,3,6,14,"Knockout stage",8
"Ayyoub Bouaddi","MF","Morocco",18,4.2,3,6,1,3,"Knockout stage",6.3
"Aziz Behich","MF","Australia",35,2.4,1,4,1,4,"Knockout stage",4.3
"Azzedine Ounahi","MF","Morocco",26,4.8,3,7,1,1,"Knockout stage",6.3
"Benjamin Tahirovic","MF","Bosnia–Herz",23,2.6,3,2,4,4,"Knockout stage",4
"Bilal El Khannouss","MF,FW","Morocco",22,5.1,5,6,1,7,"Knockout stage",6.3
"Bradley Barcola","MF","France",23,4.3,5,1,1,4,"Knockout stage",8
"Brahim Díaz","MF","Morocco",26,5.1,3,10,4,2,"Knockout stage",6.3
"Brian Gutiérrez","MF","Mexico",22,2.2,5,3,2,1,"Knockout stage",5
"Bruno Fernandes","MF","Portugal",31,4.7,2,8,0,5,"Knockout stage",5
"Bruno Guimarães","MF","Brazil",28,4.6,4,7,2,6,"Knockout stage",5
"Bukayo Saka","MF","England",24,4,4,9,1,7,"Knockout stage",8.3
"Caleb Yirenkyi","MF","Ghana",20,2.9,7,3,3,1,"Knockout stage",4
"Casemiro","MF","Brazil",34,4.2,6,6,6,5,"Knockout stage",5
"Charles De Ketelaere","FW,MF","Belgium",25,3.9,2,3,5,4,"Knockout stage",6.3
"Chemsdine Talbi","MF","Morocco",21,2,0,1,2,2,"Knockout stage",6.3
"Christ Inao Oulaï","MF","Côte d'Ivoire",20,2.3,3,5,6,4,"Knockout stage",4
"Christian Pulisic","MF","USA",27,2.5,1,8,0,1,"Knockout stage",5
