Rank,Player,Nation,GP,GS,MP,TKL,TKLpct,DBK,CLR,INT,OG,GA,FC,FS
1,Elliot Anderson,ENG,8,7,634,19,0.905,2,28,7,0,9,9,12
2,Matias Galarza,PAR,4,4,390,15,0.833,0,10,9,0,2,10,9
3,Marvin Senaya,GHA,4,4,280,15,0.938,2,17,2,0,2,6,4
4,Dayot Upamecano,FRA,8,7,661,14,0.824,8,38,7,0,7,7,4
5,Rodri,ESP,8,8,726,13,0.929,2,11,10,0,1,11,9
6,Andres Cubas,PAR,5,5,480,13,0.765,6,23,10,0,6,13,3
7,Aurelien Tchouameni,FRA,4,4,360,13,0.929,0,12,9,0,4,4,3
8,Ao Tanaka,JPN,3,2,193,12,0.923,0,5,1,0,2,6,2
9,Adrien Rabiot,FRA,7,7,585,12,1.000,0,12,5,0,8,13,4
10,Mohamed Amine Ben Hmida,TUN,3,2,203,12,1.000,3,20,1,0,10,3,0
11,Neil El Aynaoui,MAR,6,6,563,12,0.800,2,9,10,0,6,15,7
12,Juan Jose Caceres,PAR,5,5,439,12,0.800,2,43,3,0,5,9,6
13,Pedro Porro,ESP,6,6,564,11,0.846,3,19,7,0,1,10,9
14,Youri Tielemans,BEL,5,5,475,11,0.917,2,6,2,0,5,7,9
15,Jude Bellingham,ENG,8,7,617,11,1.000,1,12,3,0,9,8,17
16,Jhon Arias,COL,5,5,382,11,1.000,2,3,0,0,1,5,2
17,Lamine Yamal,ESP,8,7,616,11,0.846,0,0,5,0,1,14,8
18,Djed Spence,ENG,8,4,407,10,0.833,1,17,4,0,7,3,4
19,Alexis Mac Allister,ARG,8,7,750,10,0.909,0,11,6,0,7,8,12
20,Felix Nmecha,GER,4,4,272,10,1.000,0,6,2,0,4,3,1
21,Douglas Santos,BRA,5,5,442,10,0.625,0,11,7,0,4,4,2
22,Mohanad Lashin,EGY,4,4,360,10,0.909,4,6,5,0,6,5,3
23,Junior Alonso,PAR,5,4,390,10,1.000,3,12,3,0,6,4,3
24,Merchas Doski,IRQ,3,3,270,10,1.000,1,10,4,0,12,3,8
25,Rayan Ait-Nouri,ALG,4,3,285,9,1.000,0,14,6,0,7,6,4
