Rank,Team,GP,TI,INT,TKL,TA,GK,F,FK,OG
1,Argentina,8,128,57,93,108,52,111,106,0
2,France,8,108,59,90,104,53,81,76,0
3,Paraguay,5,92,47,86,104,57,65,61,0
4,England,8,132,54,78,84,58,79,111,0
5,Spain,8,136,68,74,86,45,101,93,0
6,Morocco,6,105,39,68,79,36,73,95,0
7,Brazil,5,75,43,56,78,22,51,55,0
8,Switzerland,6,114,26,55,67,54,88,88,0
9,Belgium,6,112,47,54,60,39,78,69,0
10,Norway,6,113,38,54,64,60,56,48,0
11,Ecuador,4,71,25,52,61,35,49,38,0
12,Canada,5,125,31,50,56,19,70,73,0
13,Egypt,5,100,34,49,61,48,58,71,0
14,Ivory Coast,4,73,28,48,53,27,29,33,0
15,Ghana,4,58,22,45,51,39,56,48,0
16,United States,5,115,37,45,55,30,55,69,0
17,Germany,4,75,15,44,54,17,49,45,0
18,Portugal,5,75,35,44,57,34,44,60,0
19,South Africa,4,50,40,44,51,44,38,47,0
20,Algeria,4,67,26,41,48,23,29,41,0
21,Turkiye,3,85,12,41,43,14,32,39,0
22,Bosnia and Herzegovina,4,68,25,40,44,37,59,39,0
23,Iraq,3,46,15,40,45,44,27,31,0
24,Japan,4,69,21,40,49,30,55,30,0
25,Australia,4,82,19,39,48,41,46,39,0
26,Saudi Arabia,3,58,16,39,47,39,29,26,0
27,Austria,4,60,26,38,51,21,46,30,0
28,Tunisia,3,59,25,38,45,24,27,33,0
29,Colombia,5,80,23,37,41,52,70,67,0
30,Iran,3,49,23,37,41,27,35,25,0
31,Cape Verde,4,73,30,36,42,41,27,50,0
32,DR Congo,4,85,15,36,48,42,44,45,0
33,Curacao,3,42,29,34,42,31,31,28,0
34,Sweden,4,67,15,34,38,29,42,51,0
35,Croatia,4,57,18,33,44,36,43,46,0
36,Mexico,5,99,26,33,38,37,57,48,0
37,Senegal,4,82,23,32,40,25,35,51,0
38,Uruguay,3,69,26,31,40,14,31,29,0
39,Jordan,3,51,26,30,40,27,29,25,0
40,Uzbekistan,3,59,21,30,38,30,44,31,0
41,Haiti,3,38,18,28,33,20,56,43,0
42,Netherlands,4,75,20,28,34,35,44,44,0
43,Panama,3,61,14,25,30,29,46,33,0
44,Qatar,3,41,14,21,28,36,35,29,0
45,Czechia,3,51,16,20,22,26,36,33,0
46,New Zealand,3,53,15,20,26,31,32,24,0
47,Scotland,3,49,14,19,21,31,42,41,0
48,South Korea,3,70,14,19,22,16,25,33,0
